Snowpiercer Food Master — 179-item master dataset
"179 usable catalog items; imperial-only working view (oz, cups, lb, ft, °F). Metric helper fields are retained only as hidden backend support. Beverage production chains are tracked on the Production Chains tab."
Row,Item,Stage,Group,Category,Type,Serving Qty,Serving Unit,Serving g (metric),Serving mL (metric),Serving State,Calories,Storage Form,Shelf Life wk,Shelf Stable?,Dedicated Grow Car Fit,Avg Live Weight lb,Packaged Meat lb / animal,Meat kcal / animal,Offal lb / animal,Fat lb / animal,Bones lb / animal,Hide/Feather/Fleece lb / animal,Other Recoverable lb / animal,Total Accounted lb,Mass Balance %,Propagation,Lifecycle,Reusable?,Harvest,Upstream,Train Fit,Difficulty / Rarity,Biome,District,Air F,Water F,Humidity %,Height ft,Width ft,Length ft,Tier Height ft,Max Layers,Indoor System,Root Zone ft,Shareable Floor %,Start From,Full Maturity wk,First Harvest wk,Fruit Ripening wk,Harvest Every wk,Yield lb/ft2,Harvest Window wk,Reset wk,Flavor,Climate Notes,Note,Timing Notes,Source IDs,Sources,Timing Sources
97.0,Beef Brisket,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,No,butcher from eligible animal,Cattle,livestock/butchery,Uncommon,,,,,,,,,,,,,0,Cattle animal,104.28571428571429,104.28571428571429,,0.0,,0.0,104.28571428571429,"rich,beefy,fatty,deep",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT
98.0,Beef Chuck Roast,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,No,butcher from eligible animal,Cattle,livestock/butchery,Common,,,,,,,,,,,,,0.0,Cattle animal,104.28571428571429,104.28571428571429,,0.0,,0.0,104.28571428571429,"rich,beefy,marbled,savory",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT
100.0,Beef Flank,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,No,butcher from eligible animal,Cattle,livestock/butchery,Uncommon,,,,,,,,,,,,,0.0,Cattle animal,104.28571428571429,104.28571428571429,,0.0,,0.0,104.28571428571429,"beefy,lean,robust,savory",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT
94.0,Beef Ribeye,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,No,butcher from eligible animal,Cattle,livestock/butchery,Uncommon,,,,,,,,,,,,,0.0,Cattle animal,104.28571428571429,104.28571428571429,,0.0,,0.0,104.28571428571429,"rich,buttery,beefy,marbled",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT
102.0,Beef Round,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,No,butcher from eligible animal,Cattle,livestock/butchery,Common,,,,,,,,,,,,,0.0,Cattle animal,104.28571428571429,104.28571428571429,,0.0,,0.0,104.28571428571429,"lean,beefy,mild,firm",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT
103.0,Beef Shank,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,No,butcher from eligible animal,Cattle,livestock/butchery,Common,,,,,,,,,,,,,0.0,Cattle animal,104.28571428571429,104.28571428571429,,0.0,,0.0,104.28571428571429,"rich,beefy,gelatinous,deep",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT
99.0,Beef Short Ribs,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,No,butcher from eligible animal,Cattle,livestock/butchery,Uncommon,,,,,,,,,,,,,0.0,Cattle animal,104.28571428571429,104.28571428571429,,0.0,,0.0,104.28571428571429,"rich,fatty,beefy,deep",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT
96.0,Beef Sirloin,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,No,butcher from eligible animal,Cattle,livestock/butchery,Uncommon,,,,,,,,,,,,,0.0,Cattle animal,104.28571428571429,104.28571428571429,,0.0,,0.0,104.28571428571429,"beefy,lean,balanced,savory",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT
101.0,Beef Skirt/Hanger,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,No,butcher from eligible animal,Cattle,livestock/butchery,Rare,,,,,,,,,,,,,0.0,Cattle animal,104.28571428571429,104.28571428571429,,0.0,,0.0,104.28571428571429,"robust,beefy,mineral,juicy",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT
108.0,Beef Small Intestine,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,No,butcher from eligible animal,Cattle,livestock/butchery,Uncommon,,,,,,,,,,,,,0.0,Cattle animal,104.28571428571429,104.28571428571429,,0.0,,0.0,104.28571428571429,"rich,fatty,mineral,savory",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT
