Snowpiercer Food Master — 179-item master dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Current master: 179 usable items. Game-facing servings use U.S. customary units (cup, tbsp, tsp, fl oz, oz, lb and gal); original gram/mL values are retained in hidden metric source columns for exact math. Dimensions use feet, yield uses lb/ft², and all canonical timing fields are stored in days; the game converts day counts to readable days/weeks/months/years. Standard Snowpiercer car exterior: 213.3 × 28.9 × 39.0 ft (L × W × H). Grow stacking reserves ~2 ft for overhead/services, leaving ~37 ft usable vertical production height.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row,Item,Stage,Group,Category,Type,Serving Qty,Serving Unit,Serving g (metric),Serving mL (metric),Serving State,Calories,Storage Form,Shelf Life d,Shelf Stable?,Dedicated Grow Car Fit,Avg Live Weight lb,Packaged Meat lb / animal,Meat kcal / animal,Offal lb / animal,Fat lb / animal,Bones lb / animal,Hide/Feather/Fleece lb / animal,Other Recoverable lb / animal,Total Accounted lb,Mass Balance %,Propagation,Lifecycle,Growth Form,Reusable?,Harvest,Upstream,Train Fit,Difficulty / Rarity,Biome,District,Air F,Water F,Humidity %,Height ft,Width ft,Length ft,Tier Height ft,Max Layers,Indoor System,Root Zone ft,Shareable Floor %,Start From,Full Maturity d,First Harvest d,Fruit Ripening d,Harvest Every d,Yield lb/ft2,Harvest Window d,Reset d,Flavor,Climate Notes,Note,Timing Notes,Source IDs,Sources,Timing Sources,After Harvest,Full Milk Output Through d,Rebreed Flag d,Red Rebreed Flag d,Zero Milk Output d,Milk Output Curve
97,Beef Brisket,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,Non-growing,No,butcher from eligible animal,Cattle,livestock/butchery,Uncommon,,,,,,,,,,,,,0%,Cattle animal,730.0,730.0,,0.0,,0.0,730.0,"rich,beefy,fatty,deep",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT,,,Batch Ends,,,,,
98,Beef Chuck Roast,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,Non-growing,No,butcher from eligible animal,Cattle,livestock/butchery,Common,,,,,,,,,,,,,0%,Cattle animal,730.0,730.0,,0.0,,0.0,730.0,"rich,beefy,marbled,savory",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT,,,Batch Ends,,,,,
100,Beef Flank,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,Non-growing,No,butcher from eligible animal,Cattle,livestock/butchery,Uncommon,,,,,,,,,,,,,0%,Cattle animal,730.0,730.0,,0.0,,0.0,730.0,"beefy,lean,robust,savory",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT,,,Batch Ends,,,,,
94,Beef Ribeye,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,Non-growing,No,butcher from eligible animal,Cattle,livestock/butchery,Uncommon,,,,,,,,,,,,,0%,Cattle animal,730.0,730.0,,0.0,,0.0,730.0,"rich,buttery,beefy,marbled",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT,,,Batch Ends,,,,,
102,Beef Round,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,Non-growing,No,butcher from eligible animal,Cattle,livestock/butchery,Common,,,,,,,,,,,,,0%,Cattle animal,730.0,730.0,,0.0,,0.0,730.0,"lean,beefy,mild,firm",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT,,,Batch Ends,,,,,
103,Beef Shank,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,Non-growing,No,butcher from eligible animal,Cattle,livestock/butchery,Common,,,,,,,,,,,,,0%,Cattle animal,730.0,730.0,,0.0,,0.0,730.0,"rich,beefy,gelatinous,deep",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT,,,Batch Ends,,,,,
99,Beef Short Ribs,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,Non-growing,No,butcher from eligible animal,Cattle,livestock/butchery,Uncommon,,,,,,,,,,,,,0%,Cattle animal,730.0,730.0,,0.0,,0.0,730.0,"rich,fatty,beefy,deep",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT,,,Batch Ends,,,,,
96,Beef Sirloin,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,Non-growing,No,butcher from eligible animal,Cattle,livestock/butchery,Uncommon,,,,,,,,,,,,,0%,Cattle animal,730.0,730.0,,0.0,,0.0,730.0,"beefy,lean,balanced,savory",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT,,,Batch Ends,,,,,
101,Beef Skirt/Hanger,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,Non-growing,No,butcher from eligible animal,Cattle,livestock/butchery,Rare,,,,,,,,,,,,,0%,Cattle animal,730.0,730.0,,0.0,,0.0,730.0,"robust,beefy,mineral,juicy",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT,,,Batch Ends,,,,,
108,Beef Small Intestine,Butchered,Protein,Meat,Beef,3.53,oz,100.0,,Uncooked,250.0,,,,,,,,,,,,,,,slaughter/butchery,animal-derived cut,Non-growing,No,butcher from eligible animal,Cattle,livestock/butchery,Uncommon,,,,,,,,,,,,,0%,Cattle animal,730.0,730.0,,0.0,,0.0,730.0,"rich,fatty,mineral,savory",,Generated by butchery; stock depends on slaughter.,Game slaughter/cut catalog.,GAME_RECIPE_V5 + GAME_MEAT,,,Batch Ends,,,,,
